k,time,rounds,metric,rounds_ind
1,8.144139766693115,515.0,0.0,514.0
2,19.068352222442627,1029.0,509.5452825957192,1028.0
3,31.38015365600586,1543.0,518.6104012418768,1542.0
4,44.937329053878784,2057.0,525.8759524309115,2056.0
5,59.62915015220642,2571.0,531.4921661924359,2570.0
6,76.19718980789185,3085.0,534.922119732619,3084.0
7,95.01334190368652,3599.0,536.9854323588772,3598.0
8,115.4916570186615,4113.0,540.7194417691218,4112.0
9,137.2760443687439,4627.0,544.591578875283,4626.0
10,160.38416481018066,5141.0,546.5022861234538,5140.0
11,184.06183886528015,5655.0,547.5160455665751,5654.0
0,0.0,0.0,0.0,
0,0.0,0.0,0.0,
0,0.0,0.0,0.0,
0,0.0,0.0,0.0,
0,0.0,0.0,0.0,
0,0.0,0.0,0.0,
0,0.0,0.0,0.0,
0,0.0,0.0,0.0,
0,0.0,0.0,0.0,
